battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-18-02:56:48,RANKED MATCH,gouki,jamie,1298,1256,LOSE,0-2,ASVUJ6CCS,1
2025-12-18-02:55:09,RANKED MATCH,gouki,jamie,1307,1247,LOSE,0-2,33XJG7V78,1
2025-12-18-02:53:12,RANKED MATCH,gouki,gouki,1316,1254,LOSE,1-2,WJA9NJ9E6,1
2025-12-18-02:50:52,RANKED MATCH,gouki,gouki,1326,1244,LOSE,1-2,KD4PPHM8N,1
2025-12-18-02:48:32,RANKED MATCH,gouki,gouki,1320,1250,WIN,2-0,V787BCPDE,1
2025-12-18-02:46:03,RANKED MATCH,gouki,cammy,1328,1345,LOSE,1-2,LQ56RW5HA,1
2025-12-18-02:43:48,RANKED MATCH,gouki,cammy,1336,1337,LOSE,1-2,T56MF5WHS,1
2025-12-18-02:41:38,RANKED MATCH,gouki,cammy,1328,1345,WIN,2-0,GAA48XEY9,1
2025-12-18-02:39:26,RANKED MATCH,gouki,gouki,1321,1273,WIN,2-1,CCX38VAJY,1
2025-12-18-02:36:55,RANKED MATCH,gouki,gouki,1314,1280,WIN,2-0,D6DETJTXP,1
2025-12-18-02:33:03,RANKED MATCH,jp,gouki,1409,1400,LOSE,1-2,TCVEB6EAT,2
2025-12-18-02:30:36,RANKED MATCH,jp,gouki,1418,1391,LOSE,0-2,F67NSRN5U,2
2025-12-18-02:26:34,RANKED MATCH,luke,marisa,1427,1437,WIN,2-1,HRRJYBQ67,2
2025-12-18-02:24:06,RANKED MATCH,luke,marisa,1435,1429,LOSE,0-1,NDWC953PL,2
2025-12-18-02:22:19,RANKED MATCH,luke,marisa,1427,1437,WIN,2-1,4L6PT8UXQ,2
2025-12-18-02:19:03,RANKED MATCH,luke,ryu,1420,1372,WIN,1-0,7B8JJQD3T,2
2025-12-18-02:17:08,RANKED MATCH,luke,ryu,1413,1379,WIN,2-0,YGSMAJVBG,2
2025-12-18-02:14:13,RANKED MATCH,luke,ken,1421,1404,LOSE,0-2,SGR3S8K79,2
2025-12-18-02:12:44,RANKED MATCH,luke,ken,1430,1395,LOSE,1-2,4JDQHPJHS,2
2025-12-18-02:09:20,RANKED MATCH,luke,jamie,1423,1387,WIN,2-0,S3NYXPRUH,2
2025-12-18-02:07:41,RANKED MATCH,luke,jamie,1415,1395,WIN,2-0,BLVAUYCXK,3
2025-12-18-02:04:58,RANKED MATCH,luke,ken,1423,1430,LOSE,1-2,49G5SFKST,3
2025-12-18-02:02:13,RANKED MATCH,luke,ken,1431,1422,LOSE,1-2,QMAN6KM9B,3
2025-12-18-02:00:04,RANKED MATCH,luke,ken,1423,1430,WIN,2-1,445YH4G3M,3
2025-12-18-01:55:27,RANKED MATCH,ken,elena,1377,1380,LOSE,1-2,GEUAHK9JL,3
2025-12-18-01:52:16,RANKED MATCH,ken,jamie,1384,1414,LOSE,1-2,T373U9VQE,3
2025-12-18-01:49:57,RANKED MATCH,ken,jamie,1392,1406,LOSE,1-2,EJE668YFT,3
2025-12-18-01:47:01,RANKED MATCH,ken,gouki,1385,1351,WIN,2-1,FE9BV4ATB,3
2025-12-18-01:45:04,RANKED MATCH,ken,gouki,1377,1359,WIN,2-1,YXQRTFAVV,3
2025-12-18-01:42:56,RANKED MATCH,ken,gouki,1386,1350,LOSE,0-1,U5XVUR954,3
2025-12-18-01:40:38,RANKED MATCH,ken,ryu,1379,1356,WIN,2-1,P6GMMJFQG,4
2025-12-18-01:37:49,RANKED MATCH,ken,ryu,1371,1364,WIN,2-1,CUAQFCLBA,4
2025-12-18-01:35:14,RANKED MATCH,ken,ryu,1380,1355,LOSE,0-1,HTD7QDMPY,4
2025-12-18-01:31:56,RANKED MATCH,ryu,gouki,1390,1359,LOSE,1-2,SHSWCSPGV,4
2025-12-18-01:29:34,RANKED MATCH,ryu,gouki,1399,1350,LOSE,0-2,7UVFCHDDT,4
2025-12-18-01:28:04,RANKED MATCH,ryu,gouki,1392,1357,WIN,2-1,36YFET6E8,4
2025-12-18-01:24:32,RANKED MATCH,ryu,aki,1401,1357,LOSE,1-2,ADJCX8L6X,4
2025-12-18-01:21:57,RANKED MATCH,ryu,aki,1394,1364,WIN,2-1,SSGXU3G6K,4
2025-12-18-01:19:53,RANKED MATCH,ryu,aki,1403,1355,LOSE,0-1,U7Y4YHX6X,4
2025-12-18-01:17:02,RANKED MATCH,ryu,aki,1409,1485,LOSE,1-2,P373LW6MU,4
2025-12-18-01:15:03,RANKED MATCH,ryu,aki,1416,1478,LOSE,0-2,Y3XGW38SL,5
2025-12-18-01:12:45,RANKED MATCH,ryu,gouki,1424,1436,LOSE,0-2,8SDEBC6L8,5
2025-12-18-01:11:22,RANKED MATCH,ryu,gouki,1432,1428,LOSE,1-2,JQGWF9TAL,5
2025-12-18-01:09:18,RANKED MATCH,ryu,gouki,1424,1436,WIN,2-1,DU45YESFU,5
2025-12-18-01:05:49,RANKED MATCH,terry,ken,1386,1381,LOSE,0-2,AU9J4447R,5
2025-12-18-01:04:12,RANKED MATCH,terry,ken,1394,1373,LOSE,1-2,77B7793LF,5
2025-12-18-01:00:43,RANKED MATCH,terry,guile,1403,1366,LOSE,0-2,YS4MTT8SP,5
2025-12-18-00:58:57,RANKED MATCH,terry,guile,1396,1373,WIN,2-1,MHP56MVBB,5
2025-12-18-00:55:24,RANKED MATCH,terry,jp,1404,1399,LOSE,0-2,XHP8BM8B9,5
2025-12-18-00:53:30,RANKED MATCH,terry,jp,1413,1390,LOSE,1-2,HGV96AUD9,5
2025-12-18-00:49:47,RANKED MATCH,terry,cammy,1406,1376,WIN,2-0,KQ4WTARKG,6
2025-12-18-00:48:49,RANKED MATCH,terry,cammy,1415,1367,LOSE,0-2,YSEF7TX9U,6
2025-12-18-00:47:39,RANKED MATCH,terry,cammy,1408,1374,WIN,2-0,6STJQ4UBW,6
2025-12-18-00:44:56,RANKED MATCH,marisa,honda,1458,1451,LOSE,0-2,BTEWM4LXA,6
