battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-02-0853,RANKED MATCH,luke,ryu,1397,1343,WIN,"[-1,6,6]",4A589FS3K,1
2026-01-02-0850,RANKED MATCH,luke,ryu,1390,1350,WIN,"[5,-5,6]",BFRHX66WK,1
2026-01-02-0847,RANKED MATCH,luke,juri,1382,1398,WIN,"[-6,1,6]",ALJC4U7VT,1
2026-01-02-0844,RANKED MATCH,luke,juri,1390,1390,LOSE,"[-1,7,-7]",ED86V6KCU,1
2026-01-02-0841,RANKED MATCH,luke,juri,1382,1398,WIN,"[1,-5,1]",LDKXGEJHG,1
2026-01-02-0838,RANKED MATCH,marisa,ryu,1360,1251,LOSE,"[1,-1,-6]",6D5KNCDFG,1
2026-01-02-0836,RANKED MATCH,marisa,ryu,1354,1257,WIN,"[1,1]",M57GEJM6G,1
2026-01-02-0832,RANKED MATCH,honda,gouki,1368,1364,LOSE,"[-1,-6]",65VVPR6TR,1
2026-01-02-0830,RANKED MATCH,honda,gouki,1376,1356,LOSE,"[-1,-6]",FCY5EA7GH,1
2026-01-02-0813,RANKED MATCH,vega,sagat,1456,1229,WIN,"[1,1]",5VPWVFT8C,1
2026-01-02-0811,RANKED MATCH,vega,sagat,1452,1233,WIN,"[1,1]",XUAENNULQ,2
2026-01-02-0808,RANKED MATCH,vega,ken,1445,1406,WIN,"[1,1]",K9HF8PBT5,2
2026-01-02-0806,RANKED MATCH,vega,ken,1438,1413,WIN,"[1,-6,8]",CJCMP5VHC,2
2026-01-02-0803,RANKED MATCH,vega,gouki,1431,1392,WIN,"[5,6]",QEG5JAQTR,2
2026-01-02-0801,RANKED MATCH,vega,gouki,1424,1399,WIN,"[-1,1,6]",XTE4KL3CQ,2
2026-01-02-0758,RANKED MATCH,vega,chunli,1431,1462,LOSE,"[-1,-6]",TQYGS7WH9,2
2026-01-02-0756,RANKED MATCH,vega,chunli,1439,1454,LOSE,"[-1,1,-8]",YENK47GDM,2
2026-01-02-0754,RANKED MATCH,vega,chunli,1430,1463,WIN,"[1,1]",BTNNXLRN6,2
2026-01-02-0751,RANKED MATCH,vega,gouki,1423,1382,WIN,"[1,1]",MX3ME6JQK,2
2026-01-02-0750,RANKED MATCH,vega,gouki,1416,1389,WIN,"[1,-1,8]",7Y9TEWXMB,2
2026-01-02-0748,RANKED MATCH,vega,gouki,1425,1380,LOSE,"[-1,1,-6]",NFJ7ET8LY,3
2026-01-02-0744,RANKED MATCH,vega,sagat,1433,1454,LOSE,"[-1,1,-1]",3DGWSG7XA,3
2026-01-02-0742,RANKED MATCH,vega,sagat,1441,1446,LOSE,"[-2,-1]",VQ4EE7DSG,3
2026-01-02-0739,RANKED MATCH,vega,juri,1434,1373,WIN,"[1,7]",X7YL4QSDT,3
2026-01-02-0737,RANKED MATCH,vega,juri,1427,1380,WIN,"[-1,1,1]",CTQ54NFPX,3
2026-01-02-0735,RANKED MATCH,vega,juri,1436,1371,LOSE,"[-6,1,-1]",7RBK649R3,3
2026-01-02-0731,RANKED MATCH,vega,ken,1430,1353,WIN,"[1,6]",YJCLKJTL9,3
2026-01-02-0730,RANKED MATCH,vega,ken,1423,1360,WIN,"[1,1]",34BCA5Y95,3
2026-01-02-0727,RANKED MATCH,vega,guile,1432,1399,LOSE,"[-1,-1]",C6GCEU7VT,3
2026-01-02-0725,RANKED MATCH,vega,guile,1441,1390,LOSE,"[-1,-1]",993A9KGV7,3
2026-01-02-0723,RANKED MATCH,vega,terry,1449,1457,LOSE,"[-8,-6]",YQPB5JP8N,4
2026-01-02-0721,RANKED MATCH,vega,terry,1440,1466,WIN,"[1,-6,1]",K6SMNQJYD,4
2026-01-02-0719,RANKED MATCH,vega,terry,1448,1458,LOSE,"[-8,1,-7]",QS3LQ874D,4
2026-01-02-0715,RANKED MATCH,vega,ed,1457,1393,LOSE,"[1,-1,-6]",RVST8QTDW,4
2026-01-02-0712,RANKED MATCH,vega,ed,1450,1400,WIN,"[1,1]",RNG5R8YPT,4
2026-01-02-0711,RANKED MATCH,vega,ed,1460,1390,LOSE,"[1,-1,-1]",D4TXKVPNG,4
2026-01-02-0619,RANKED MATCH,vega,terry,1453,1429,WIN,"[1,6]",QQDAMXXBN,4
2026-01-02-0617,RANKED MATCH,vega,terry,1445,1437,WIN,"[8,1]",N7BP4MV3G,4
2026-01-02-0615,RANKED MATCH,vega,jamie,1438,1403,WIN,"[1,-7,1]",R5JYUA9FB,4
2026-01-02-0613,RANKED MATCH,vega,jamie,1430,1411,WIN,"[1,-1,1]",4VEG6A598,4
2026-01-02-0609,RANKED MATCH,vega,guile,1438,1442,LOSE,"[-1,-6]",LNFF9S3A4,5
2026-01-02-0607,RANKED MATCH,vega,guile,1446,1434,LOSE,"[-5,-1]",QQHP8K5FT,5
2026-01-02-0605,RANKED MATCH,vega,ryu,1438,1442,WIN,"[-1,7,1]",HHCQHEYLB,5
2026-01-02-0603,RANKED MATCH,vega,ryu,1430,1450,WIN,"[1,5]",KXGAB6RDJ,5
2026-01-02-0601,RANKED MATCH,vega,ryu,1438,1442,LOSE,"[-1,-1]",4U4GTXDRE,5
2026-01-02-0559,RANKED MATCH,vega,mai,1446,1428,LOSE,"[-5,-6]",PD7MA6BXH,5
2026-01-02-0557,RANKED MATCH,vega,mai,1455,1419,LOSE,"[-1,-6]",G9RMDWQCY,5
2026-01-02-0555,RANKED MATCH,vega,mai,1448,1426,WIN,"[1,1]",VCUQ4HWFK,5
2026-01-02-0553,RANKED MATCH,vega,gouki,1440,1429,WIN,"[1,1]",5DLX6CPW9,5
2026-01-02-0552,RANKED MATCH,vega,gouki,1432,1437,WIN,"[1,5]",L3R677YRP,5
2026-01-02-0549,RANKED MATCH,vega,zangief,1440,1436,LOSE,"[-1,1,-1]",SCM38ENT8,6
2026-01-02-0547,RANKED MATCH,vega,zangief,1449,1427,LOSE,"[1,-8,-5]",LVV7QMX6X,6
2026-01-02-0545,RANKED MATCH,vega,zangief,1441,1435,WIN,"[1,1]",7MJAB7H5U,6
2026-01-02-0543,RANKED MATCH,vega,gouki,1435,1354,WIN,"[-1,1,1]",DWD8X8BRJ,6
2026-01-02-0540,RANKED MATCH,vega,gouki,1429,1360,WIN,"[-1,6,6]",JNWLD5LG9,6
2026-01-02-0537,RANKED MATCH,vega,dhalsim,1420,1467,WIN,"[1,1]",QXWUVC58N,6
2026-01-02-0536,RANKED MATCH,vega,dhalsim,1411,1476,WIN,"[-1,1,1]",YRVANK6UJ,6
2026-01-02-0531,RANKED MATCH,vega,blanka,1420,1388,LOSE,"[-6,1,-1]",5KV4SME5Y,6
2026-01-02-0529,RANKED MATCH,vega,blanka,1412,1396,WIN,"[1,-1,1]",SCS5QCTVS,6
2026-01-02-0526,RANKED MATCH,vega,blanka,1421,1387,LOSE,"[-1,-5]",X9MQM476S,6
2026-01-02-0524,RANKED MATCH,vega,luke,1415,1316,WIN,"[8,1]",TC3VFYM7Y,7
2026-01-02-0522,RANKED MATCH,vega,luke,1409,1322,WIN,"[1,1]",HP3HWUELW,7
2026-01-02-0520,RANKED MATCH,vega,jp,1416,1458,LOSE,"[1,-1,-6]",P3DBQLDQ9,7
2026-01-02-0518,RANKED MATCH,vega,jp,1423,1451,LOSE,"[-1,-5]",H3H446JSB,7
2026-01-02-0516,RANKED MATCH,vega,jp,1430,1472,LOSE,"[-1,1,-1]",96T5EVCAX,7
2026-01-02-0513,RANKED MATCH,vega,jp,1437,1465,LOSE,"[-8,-6]",G7GLPFUH7,7
2026-01-02-0511,RANKED MATCH,guile,juri,1430,1421,WIN,"[1,-1,5]",9JPTCAMSL,7
2026-01-02-0509,RANKED MATCH,guile,juri,1422,1429,WIN,"[1,1]",E3BRJCUX8,7
2026-01-02-0506,RANKED MATCH,guile,rashid,1430,1417,LOSE,"[-1,1,-1]",DXUHKH7DH,7
2026-01-02-0502,RANKED MATCH,guile,rashid,1439,1408,LOSE,"[-1,1,-6]",V6U9XDXGK,7
2026-01-02-0458,RANKED MATCH,jamie,chunli,1346,1324,WIN,"[1,1]",SJHCCQAC7,8
2026-01-02-0456,RANKED MATCH,jamie,chunli,1338,1332,WIN,"[1,-1,1]",GV8CNBY6K,8
2025-12-30-0939,RANKED MATCH,jp,sagat,1402,1442,WIN,"[6,1]",4967GQFU7,8
2025-12-30-0938,RANKED MATCH,jp,sagat,1393,1451,WIN,"[-5,7,1]",PGWU89QPS,8
2025-12-30-0934,RANKED MATCH,ryu,ryu,1353,1384,LOSE,"[-1,1,-1]",WSYPGC8J8,8
2025-12-30-0931,RANKED MATCH,ryu,ryu,1344,1393,WIN,"[6,1]",5FQMRUNJL,8
2025-12-30-0930,RANKED MATCH,ryu,ryu,1351,1386,LOSE,"[-1,1,-6]",WUTCJB4GJ,8
2025-12-30-0926,RANKED MATCH,ryu,luke,1344,1322,WIN,"[-5,1,2]",BNEJTAL4U,8
2025-12-30-0923,RANKED MATCH,ryu,luke,1336,1330,WIN,"[1,6]",4XBDY5KHU,8
2025-12-30-0920,RANKED MATCH,ryu,juri,1344,1345,LOSE,"[-1,-6]",FJGH5JCTG,8
2025-12-30-0906,RANKED MATCH,honda,terry,1385,1333,LOSE,"[-1,-1]",MJKTW4S58,9
2025-12-30-0904,RANKED MATCH,honda,terry,1395,1323,LOSE,"[1,-1,-6]",R57BPUDNR,9
